pageindex,expo_link,past_date_and_location
1,https://www.expocheck.com/en/expos/75150-afribif-abuja-nigeria,4 - 8 November 2019 Abuja (Nigeria)
1,https://www.expocheck.com/en/expos/1923-batimat-paris-france,4 - 8 November 2019 Paris (France)
1,https://www.expocheck.com/en/expos/74777-crb-toronto-canada,4 - 5 November 2019 Toronto (Canada)
1,https://www.expocheck.com/en/expos/72879-edutech-asia-singapore-singapore,4 - 6 November 2019 Singapore (Singapore)
1,https://www.expocheck.com/en/expos/3697-fihav-havana-cuba,4 - 8 November 2019 Havana (Cuba)
1,https://www.expocheck.com/en/expos/72715-hrse-dubai-united-arab-emirates,4 - 6 November 2019 Dubai (United Arab Emirates)
1,https://www.expocheck.com/en/expos/72746-ieee-comcas-tel-aviv-israel,4 - 6 November 2019 Tel Aviv (Israel)
1,https://www.expocheck.com/en/expos/28978-ideo-bain-paris-france,4 - 8 November 2019 Paris (France)
1,https://www.expocheck.com/en/expos/623-wtm-london-united-kingdom,4 - 5 November 2019 London (United Kingdom)
1,https://www.expocheck.com/en/expos/3314--london-united-kingdom,4 - 10 November 2019 London (United Kingdom)
2,https://www.expocheck.com/en/expos/1298-aa-dusseldorf-germany,5 - 8 November 2019 Dusseldorf (Germany)
2,https://www.expocheck.com/en/expos/64124-bau-china-shanghai-china-pr,"5 - 8 November 2019 Shanghai (China, PR)"
2,https://www.expocheck.com/en/expos/45281-blechexpo-stuttgart-germany,5 - 8 November 2019 Stuttgart (Germany)
2,https://www.expocheck.com/en/expos/68091-energy-storage-north-america-san-diego-usa,5 - 7 November 2019 San Diego (USA)
2,https://www.expocheck.com/en/expos/73962-mes-expo-berlin-germany,5 - 7 November 2019 Berlin (Germany)
2,https://www.expocheck.com/en/expos/47696-schweisstec-stuttgart-germany,5 - 8 November 2019 Stuttgart (Germany)
2,https://www.expocheck.com/en/expos/60398-denkmal-moskau-moscow-russia,5 - 7 November 2019 Moscow (Russia)
2,https://www.expocheck.com/en/expos/37620-aapex-las-vegas-usa,5 - 7 November 2019 Las Vegas (USA)
2,https://www.expocheck.com/en/expos/40255-agroforum-kiev-ukraine,5 - 7 November 2019 Kiev (Ukraine)
2,https://www.expocheck.com/en/expos/45887-aqua-ukraine-kiev-ukraine,5 - 7 November 2019 Kiev (Ukraine)
3,https://www.expocheck.com/en/expos/73807-asn-kidney-week-washington-usa,5 - 10 November 2019 Washington (USA)
3,https://www.expocheck.com/en/expos/47928-adana-agriculture-adana-turkey,5 - 9 November 2019 Adana (Turkey)
3,https://www.expocheck.com/en/expos/47930-adana-green-house---garden-adana-turkey,5 - 9 November 2019 Adana (Turkey)
3,https://www.expocheck.com/en/expos/510-aquatech-amsterdam-amsterdam-netherlands,5 - 8 November 2019 Amsterdam (Netherlands)
3,https://www.expocheck.com/en/expos/3831-automaatio-helsinki-finland,5 - 7 November 2019 Helsinki (Finland)
3,https://www.expocheck.com/en/expos/68757-bw-expo-and-summit-sao-paulo-brazil,5 - 7 November 2019 Sao Paulo (Brazil)
3,https://www.expocheck.com/en/expos/49855-business-franchise-mediterranee-marseille-france,05 November 2019 Marseille (France)
3,https://www.expocheck.com/en/expos/72530-cdce-shanghai-china-pr,"5 - 7 November 2019 Shanghai (China, PR)"
3,https://www.expocheck.com/en/expos/56708-cihe-guangzhou-china-pr,"5 - 10 November 2019 Guangzhou (China, PR)"
3,https://www.expocheck.com/en/expos/73618-ciie-shanghai-china-pr,"5 - 10 November 2019 Shanghai (China, PR)"
